AV 32
-57.9628145 -34.8950344, 
-57.9637372 -34.8958088, 
-57.9648101 -34.8967944, 
-57.9659044 -34.8977447, 
-57.9668485 -34.8987303, 
-57.9677712 -34.8995926, 
-57.9689085 -34.9006485, 
-57.9699170 -34.9014932, 
-57.9709040 -34.9024611, 
-57.9719340 -34.9033410, 
-57.9729854 -34.9042561, 
-57.9739939 -34.9052416, 
-57.9750025 -34.9062094, 
-57.9761397 -34.9071245, 
-57.9771697 -34.9080923, 
-57.9780709 -34.9090073, 
-57.9791223 -34.9099576, 
-57.9800450 -34.9108726, 
-57.9812037 -34.9117700, 
-57.9822766 -34.9127905, 
-57.9832637 -34.9137231, 
-57.9842722 -34.9146029, 
-57.9852592 -34.9155178, 
-57.9862892 -34.9164680, 
-57.9873192 -34.9173829, 
-57.9883277 -34.9182626, 
-57.9892718 -34.9193535, 
-57.9904200 -34.9202900, 
-57.9914390 -34.9212009, 
-57.9924690 -34.9221158, 
-57.9933059 -34.9229603, 
-57.9950568 -34.9243940, 
-57.9960867 -34.9253440, 
-57.9971274 -34.9262765, 
-57.9980555 -34.9271605, 
-57.9991337 -34.9280973,
-58.0001900 -34.9290300, 
-58.0012624 -34.9299897, 
-58.0022602 -34.9309485, 
-58.0033009 -34.9318720, 
-58.0042879 -34.9328044, 
-58.0052964 -34.9337103, 
-58.0063479 -34.9346691
AV 33
-57.9616712 -34.8958805,
-57.9625509 -34.8967076,
-57.9636667 -34.8976404,
-57.9646109 -34.8985731,
-57.9656838 -34.8995587,
-57.9666064 -34.9004386,
-57.9677652 -34.9014241,
-57.9687737 -34.9023392,
-57.9698466 -34.9033247,
-57.9708765 -34.9042750,
-57.9718850 -34.9051372,
-57.9728077 -34.9060523,
-57.9738377 -34.9070025,
-57.9749535 -34.9080232,
-57.9759405 -34.9089030,
-57.9769705 -34.9098532,
-57.9780648 -34.9107858,
-57.9789446 -34.9117008,
-57.9800604 -34.9126686,
-57.9811762 -34.9136188, 
-57.9821418 -34.9145689, 
-57.9831503 -34.9154839, 
-57.9841588 -34.9164164, 
-57.9851673 -34.9173138,
-57.9861758 -34.9182639,
-57.9872916 -34.9192140,
-57.9882787 -34.9201641,
-57.9893301 -34.9211318,
-57.9903601 -34.9220290,
-57.9913257 -34.9229263,
-57.9923557 -34.9238236,
-57.9939157 -34.9252710,
-57.9949296 -34.9261815, 
-57.9959542 -34.9271227, 
-57.9969252 -34.9280727, 
-57.9979712 -34.9289611, 
-57.9990173 -34.9299287,  
-58.0000741 -34.9309006,
-58.0011041 -34.9318374, 
-58.0020911 -34.9327170,
-58.0030889 -34.9336317,
-58.0041403 -34.9345773, 
-58.0052025 -34.9355228
AV 34
-57.9605809 -34.8966787,
-57.9615680 -34.8975762,
-57.9625550 -34.8984562,
-57.9634777 -34.8994593,
-57.9645506 -34.9003920, 
-57.9656235 -34.9012719, 
-57.9666534 -34.9022398,
-57.9676834 -34.9032077,
-57.9686275 -34.9041404,
-57.9696790 -34.9050555,
-57.9707089 -34.9060233,
-57.9717818 -34.9069032,
-57.9727474 -34.9078710,
-57.9738632 -34.9088213,
-57.9748288 -34.9097891,
-57.9759017 -34.9107041,
-57.9768781 -34.9116103, 
-57.9778758 -34.9125165,
-57.9789621 -34.9135194,
-57.9800216 -34.9144344,
-57.9809979 -34.9153890, 
-57.9820386 -34.9163171,
-57.9830390 -34.9172474,
-57.9840342 -34.9181294,
-57.9850856 -34.9191059, 
-57.9861584 -34.9200757,
-57.9871509 -34.9209973,
-57.9881916 -34.9219275,
-57.9892027 -34.9228314, 
-57.9901469 -34.9237286,
-57.9912439 -34.9247139,
-57.9927833 -34.9260950, 
-57.9937918 -34.9270384,
-57.9947922 -34.9279510,
-57.9958329 -34.9288746,
-57.9968414 -34.9298070,
-57.9979143 -34.9307658,
-57.9989657 -34.9317333,
-57.9999850 -34.9326569,
-58.0009828 -34.9335760,
-58.0019913 -34.9345040,
-58.0029891 -34.9353879,
-58.0040137 -34.9363026
AV 35
-57.9593901 -34.8974937,
-57.9603771 -34.8984616,
-57.9614500 -34.8993768,
-57.9624800 -34.9002919, 
-57.9634885 -34.9012070,
-57.9644112 -34.9021221,
-57.9655270 -34.9031076,
-57.9665784 -34.9040755,
-57.9675869 -34.9049906, 
-57.9686169 -34.9058704,
-57.9696039 -34.9068207,
-57.9706124 -34.9077533, 
-57.9716639 -34.9087211,
-57.9727797 -34.9097065,
-57.9737238 -34.9105864,
-57.9747726 -34.9115240,
-57.9757944 -34.9124362,
-57.9768003 -34.9133753,
-57.9778169 -34.9143431, 
-57.9789166 -34.9153020, 
-57.9799305 -34.9162192,
-57.9809229 -34.9171627, 
-57.9819233 -34.9180556,
-57.9829479 -34.9189859,
-57.9839833 -34.9199361,
-57.9850454 -34.9209257,
-57.9860593 -34.9218494,
-57.9870946 -34.9227533,
-57.9881005 -34.9237055,
-57.9891089 -34.9246292, 
-57.9901174 -34.9255221,
-57.9916407 -34.9269096,
-57.9926519 -34.9278772,
-57.9937029 -34.9288066,
-57.9946685 -34.9297390,
-57.9957414 -34.9306538, 
-57.9967928 -34.9315686, 
-57.9978872 -34.9326065,
-57.9988313 -34.9334509,
-57.9998398 -34.9343480, 
-58.0008483 -34.9352627,
-58.0018354 -34.9361775, 
-58.0029512 -34.9372329
AV 36
-57.9582926 -34.8983972,
-57.9592582 -34.8992683,
-57.9603418 -34.9002010, 
-57.9613396 -34.9011425,
-57.9623052 -34.9020313,
-57.9633351 -34.9029639,
-57.9643544 -34.9039406, 
-57.9654595 -34.9048645, 
-57.9664894 -34.9057972,
-57.9674872 -34.9067210,
-57.9685172 -34.9076625,
-57.9695042 -34.9085863,
-57.9705557 -34.9095629,
-57.9716071 -34.9105021,
-57.9726156 -34.9114193, 
-57.9736234 -34.9123673, 
-57.9746326 -34.9132493, 
-57.9756626 -34.9141818,
-57.9767569 -34.9152024,
-57.9777654 -34.9161349,
-57.9788383 -34.9170235,
-57.9798146 -34.9179736, 
-57.9808017 -34.9189149, 
-57.9818102 -34.9198298,
-57.9828616 -34.9207887,
-57.9839023 -34.9217476,
-57.9849859 -34.9226537,
-57.9859623 -34.9236037,
-57.9869493 -34.9245010, 
-57.9879793 -34.9254334, 
-57.9892131 -34.9265990,
-57.9905097 -34.9277803,
-57.9915343 -34.9287215,
-57.9925857 -34.9296187,
-57.9935621 -34.9305599,
-57.9946242 -34.9314835, 
-57.9956220 -34.9324774,
-57.9967000 -34.9333700, 
-57.9977141 -34.9343069,
-57.9987226 -34.9352041,
-57.9997419 -34.9361628,
-58.0007182 -34.9370775,
-58.0018340 -34.9380626
AV 37
-57.9571848 -34.8992222,
-57.9581826 -34.9001197,
-57.9591804 -34.9010261, 
-57.9601889 -34.9019764,
 57.9612296 -34.9029091,
-57.9622059 -34.9037801, 
-57.9632788 -34.9047656, 
-57.9642337 -34.9056895, 
-57.9653602 -34.9066221, 
-57.9663580 -34.9075636, 
-57.9673665 -34.9084962,
-57.9683857 -34.9093936,
-57.9693943 -34.9104318,
-57.9704886 -34.9113556, 
-57.9715186 -34.9122442,
-57.9725056 -34.9131944,
-57.9735356 -34.9141182, 
-57.9745334 -34.9150243, 
-57.9755955 -34.9160537, 
-57.9766684 -34.9169862, 
-57.9776555 -34.9178835, 
-57.9786747 -34.9187809, 
-57.9796832 -34.9196958,
-57.9807132 -34.9207338, 
-57.9817753 -34.9216047, 
-57.9827838 -34.9225724, 
-57.9838245 -34.9235048,
-57.9848652 -34.9244637,
-57.9858845 -34.9253521, 
-57.9868715 -34.9263022, 
-57.9878318 -34.9271862,
-57.9894117 -34.9286190,
-57.9904148 -34.9295118,
-57.9914233 -34.9304574,
-57.9924372 -34.9314161, 
-57.9933867 -34.9322693, 
-57.9937166 -34.9320736, 
-57.9939647 -34.9327410, 
-57.9945454 -34.9333028,
-57.9977025 -34.9360468,
-57.9986359 -34.9369615,
-57.9996712 -34.9378366, 
-58.0007066 -34.9388217
AV 38
-57.9566179 -34.8996477,
-57.9569934 -34.9009896, 
-57.9580341 -34.9018739,
-57.9590266 -34.9028330,
-57.9600351 -34.9037481,
-57.9610489 -34.9046851,
-57.9615907 -34.9052043, 
-57.9625993 -34.9061061, 
-57.9631464 -34.9066120,
-57.9641442 -34.9075095, 
-57.9651849 -34.9084421, 
-57.9661988 -34.9093747,
-57.9672073 -34.9103118,
-57.9682373 -34.9112356,
-57.9693101 -34.9122297, 
-57.9703616 -34.9131359,
-57.9713593 -34.9140729,
-57.9723732 -34.9149922,
-57.9738699 -34.9164175, 
-57.9749750 -34.9173940, 
-57.9754899 -34.9178470,
-57.9765038 -34.9187664,
-57.9775070 -34.9196901,
-57.9785262 -34.9205874,
-57.9795562 -34.9215419,
-57.9816590 -34.9234640,
-57.9826407 -34.9244140,
-57.9836278 -34.9253289,
-57.9847436 -34.9263141,
-57.9857306 -34.9271585, 
-57.9867606 -34.9280733, 
-57.9882596 -34.9294903, 
-57.9892788 -34.9304139, 
-57.9902659 -34.9313375,
-57.9913066 -34.9322698,
-57.9922614 -34.9331758, 
-57.9933450 -34.9341169, 
-57.9943643 -34.9350669,
-57.9953835 -34.9360256,
-57.9964350 -34.9369843, 
-57.9974649 -34.9379254,
-57.9984198 -34.9387521, 
-57.9995034 -34.9397723
AV 39
-57.9549126 -34.9009319, 
-57.9558246 -34.9019130,
-57.9568277 -34.9028017, 
-57.9578684 -34.9037036,
-57.9588877 -34.9046538, 
-57.9598855 -34.9055249, 
-57.9608940 -34.9065016,
-57.9619776 -34.9074518, 
-57.9629754 -34.9084108, 
-57.9639946 -34.9093435, 
-57.9650353 -34.9102409, 
-57.9660438 -34.9111735, 
-57.9670845 -34.9121677, 
-57.9681789 -34.9131178, 
-57.9691444 -34.9140328, 
-57.9701208 -34.9149214, 
-57.9711829 -34.9158803, 
-57.9721700 -34.9167601,
-57.9732536 -34.9177454,
-57.9742943 -34.9186603,
-57.9753779 -34.9196368, 
-57.9763650 -34.9205517, 
-57.9773520 -34.9214666, 
-57.9784034 -34.9223815,
-57.9794549 -34.9233843,
-57.9804419 -34.9243168,
-57.9814933 -34.9253020, 
-57.9825233 -34.9261640,
-57.9835318 -34.9270965,
-57.9844760 -34.9280113, 
-57.9855274 -34.9289261, 
-57.9871145 -34.9303671,
-57.9880909 -34.9312554,
-57.9890994 -34.9321790, 
-57.9901186 -34.9331466,
-57.9911593 -34.9340525, 
-57.9921785 -34.9349848, 
-57.9932514 -34.9359611,
-57.9941956 -34.9369198, 
-57.9952684 -34.9378257, 
-57.9962555 -34.9387580, 
-57.9972640 -34.9396815, 
-57.9983691 -34.9406490
AV 40
-57.9537760 -34.9017834, 
-57.9547201 -34.9026985,
-57.9557608 -34.9035784,
-57.9567586 -34.9045462, 
-57.9577457 -34.9054877, 
-57.9587220 -34.9063939, 
-57.9598807 -34.9074498, 
-57.9608249 -34.9083296,
-57.9618548 -34.9092446,
-57.9629706 -34.9101597,
-57.9639148 -34.9110747, 
-57.9648589 -34.9119897,
-57.9658889 -34.9129750, 
-57.9670476 -34.9139604, 
-57.9680775 -34.9148402, 
-57.9690217 -34.9157551,
-57.9700087 -34.9167052,
-57.9711245 -34.9176202,
-57.9722403 -34.9186055, 
-57.9732006 -34.9195402,
-57.9742144 -34.9204705,
-57.9752873 -34.9214558, 
-57.9763173 -34.9223706, 
-57.9773043 -34.9233207, 
-57.9783343 -34.9242707, 
-57.9793643 -34.9251504, 
-57.9803513 -34.9260652, 
-57.9813813 -34.9270153, 
-57.9823684 -34.9279301, 
-57.9833554 -34.9288801, 
-57.9844283 -34.9297817, 
-57.9859733 -34.9312023, 
-57.9869834 -34.9321010,
-57.9879973 -34.9330290,
-57.9890112 -34.9339877,
-57.9900143 -34.9348805,
-57.9910497 -34.9358612,
-57.9921494 -34.9368023,
-57.9931686 -34.9377390, 
-57.9941503 -34.9386317, 
-57.9951856 -34.9395772, 
-57.9961888 -34.9405138, 
-57.9972026 -34.9414505
AV 41
-57.9526122 -34.9025305, 
-57.9536421 -34.9035160,
-57.9546077 -34.9044311,
-57.9556377 -34.9053462, 
-57.9567106 -34.9063316,
-57.9576547 -34.9071763, 
-57.9586847 -34.9080913, 
-57.9598005 -34.9091119, 
-57.9607017 -34.9100621, 
-57.9617317 -34.9109420,
-57.9627854 -34.9119512,
-57.9637456 -34.9128288,
-57.9648614 -34.9138141,
-57.9659128 -34.9147555,
-57.9668784 -34.9156529,
-57.9679406 -34.9166118,
-57.9689491 -34.9175267,
-57.9699361 -34.9184153,
-57.9709554 -34.9193478,
-57.9720819 -34.9203770, 
-57.9731548 -34.9212567, 
-57.9740560 -34.9220661, 
-57.9750860 -34.9231569, 
-57.9761160 -34.9240365, 
-57.9772747 -34.9250569,
-57.9783046 -34.9260070,
-57.9792488 -34.9268514,
-57.9802787 -34.9278366,
-57.9812658 -34.9287514,
-57.9822797 -34.9296926,
-57.9833285 -34.9306184,
-57.9848491 -34.9320247,
-57.9858522 -34.9329482,
-57.9868724 -34.9338876,
-57.9878862 -34.9347847,
-57.9899301 -34.9366846,
